2015-06-13 07:36:54,666 | WARN  | Transport Connection to: tcp://127.0.0.1:63176 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63176
2015-06-13 07:36:54,667 | WARN  | Transport Connection to: tcp://127.0.0.1:63177 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63177
2015-06-13 07:36:54,667 | WARN  | Transport Connection to: tcp://127.0.0.1:63180 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63180
2015-06-13 07:36:54,666 | WARN  | Transport Connection to: tcp://127.0.0.1:63179 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63179
2015-06-13 07:36:54,666 | WARN  | Transport Connection to: tcp://127.0.0.1:63178 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63178
2015-06-13 07:37:53,936 | WARN  | Transport Connection to: tcp://127.0.0.1:63696 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63696
2015-06-13 07:37:53,936 | WARN  | Transport Connection to: tcp://127.0.0.1:63698 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63698
2015-06-13 07:37:53,937 | WARN  | Transport Connection to: tcp://127.0.0.1:63700 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63700
2015-06-13 07:37:53,937 | WARN  | Transport Connection to: tcp://127.0.0.1:63697 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63697
2015-06-13 07:37:53,955 | WARN  | Transport Connection to: tcp://127.0.0.1:63699 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63699
2015-06-15 12:23:45,766 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@237dc815: startup date [Mon Jun 15 12:23:45 JST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
